metric_name,metric_value,origin_index
frontier_per_origin_candidate_counts,1,11305
frontier_per_origin_candidate_counts,2,11316
frontier_per_origin_candidate_counts,1,1132
frontier_per_origin_candidate_counts,2,11331
frontier_per_origin_candidate_counts,2,11335
frontier_per_origin_candidate_counts,1,11336
frontier_per_origin_candidate_counts,2,11341
frontier_per_origin_candidate_counts,2,11354
frontier_per_origin_candidate_counts,2,11361
frontier_per_origin_candidate_counts,2,11376
frontier_per_origin_candidate_counts,1,11377
frontier_per_origin_candidate_counts,2,11378
frontier_per_origin_candidate_counts,2,11379
frontier_per_origin_candidate_counts,1,11385
frontier_per_origin_candidate_counts,2,11386
frontier_per_origin_candidate_counts,1,11388
frontier_per_origin_candidate_counts,1,11396
frontier_per_origin_candidate_counts,1,11399
frontier_per_origin_candidate_counts,2,11400
frontier_per_origin_candidate_counts,1,11402
frontier_per_origin_candidate_counts,1,11406
frontier_per_origin_candidate_counts,2,11408
frontier_per_origin_candidate_counts,2,11415
frontier_per_origin_candidate_counts,3,11424
frontier_per_origin_candidate_counts,1,1143
frontier_per_origin_candidate_counts,2,11430
frontier_per_origin_candidate_counts,1,11434
frontier_per_origin_candidate_counts,1,11442
frontier_per_origin_candidate_counts,1,11448
frontier_per_origin_candidate_counts,2,11455
frontier_per_origin_candidate_counts,1,11456
frontier_per_origin_candidate_counts,2,11457
frontier_per_origin_candidate_counts,2,11460
frontier_per_origin_candidate_counts,2,11466
frontier_per_origin_candidate_counts,1,11470
frontier_per_origin_candidate_counts,1,11475
frontier_per_origin_candidate_counts,2,11477
frontier_per_origin_candidate_counts,1,11479
frontier_per_origin_candidate_counts,2,11497
frontier_per_origin_candidate_counts,2,11499
frontier_per_origin_candidate_counts,2,11503
frontier_per_origin_candidate_counts,1,11506
frontier_per_origin_candidate_counts,2,11512
frontier_per_origin_candidate_counts,1,11513
frontier_per_origin_candidate_counts,2,11514
frontier_per_origin_candidate_counts,1,11521
frontier_per_origin_candidate_counts,2,11522
frontier_per_origin_candidate_counts,1,1153
frontier_per_origin_candidate_counts,2,11539
frontier_per_origin_candidate_counts,2,11541
frontier_per_origin_candidate_counts,1,11543
frontier_per_origin_candidate_counts,1,11544
frontier_per_origin_candidate_counts,2,11547
frontier_per_origin_candidate_counts,1,11548
frontier_per_origin_candidate_counts,2,11555
frontier_per_origin_candidate_counts,1,11564
frontier_per_origin_candidate_counts,2,11570
frontier_per_origin_candidate_counts,2,11577
frontier_per_origin_candidate_counts,2,11579
frontier_per_origin_candidate_counts,1,11580
frontier_per_origin_candidate_counts,2,11591
frontier_per_origin_candidate_counts,1,11592
frontier_per_origin_candidate_counts,2,11594
frontier_per_origin_candidate_counts,1,11596
frontier_per_origin_candidate_counts,1,11607
frontier_per_origin_candidate_counts,3,11608
frontier_per_origin_candidate_counts,1,1161
frontier_per_origin_candidate_counts,2,11613
frontier_per_origin_candidate_counts,2,1162
frontier_per_origin_candidate_counts,2,11627
frontier_per_origin_candidate_counts,1,11629
frontier_per_origin_candidate_counts,1,11643
frontier_per_origin_candidate_counts,2,11646
frontier_per_origin_candidate_counts,2,11648
frontier_per_origin_candidate_counts,2,11651
frontier_per_origin_candidate_counts,1,11653
frontier_per_origin_candidate_counts,2,11655
frontier_per_origin_candidate_counts,2,11657
frontier_per_origin_candidate_counts,2,11661
frontier_per_origin_candidate_counts,2,11662
frontier_per_origin_candidate_counts,1,11667
frontier_per_origin_candidate_counts,2,11671
frontier_per_origin_candidate_counts,1,11678
frontier_per_origin_candidate_counts,2,11679
frontier_per_origin_candidate_counts,1,11689
frontier_per_origin_candidate_counts,2,1169
frontier_per_origin_candidate_counts,1,117
frontier_per_origin_candidate_counts,2,11705
frontier_per_origin_candidate_counts,1,11706
frontier_per_origin_candidate_counts,1,11714
frontier_per_origin_candidate_counts,2,11719
frontier_per_origin_candidate_counts,2,11726
frontier_per_origin_candidate_counts,2,11729
frontier_per_origin_candidate_counts,1,11731
frontier_per_origin_candidate_counts,2,11738
frontier_per_origin_candidate_counts,2,1174
frontier_per_origin_candidate_counts,2,11745
frontier_per_origin_candidate_counts,1,11749
frontier_per_origin_candidate_counts,1,11753
frontier_per_origin_candidate_counts,1,11764
frontier_per_origin_candidate_counts,2,11766
frontier_per_origin_candidate_counts,1,11777
frontier_per_origin_candidate_counts,2,1178
frontier_per_origin_candidate_counts,1,11782
frontier_per_origin_candidate_counts,2,11785
frontier_per_origin_candidate_counts,2,11796
frontier_per_origin_candidate_counts,3,11797
frontier_per_origin_candidate_counts,2,11799
frontier_per_origin_candidate_counts,1,11809
frontier_per_origin_candidate_counts,1,11810
frontier_per_origin_candidate_counts,2,11815
frontier_per_origin_candidate_counts,1,11817
frontier_per_origin_candidate_counts,1,11832
frontier_per_origin_candidate_counts,2,11833
frontier_per_origin_candidate_counts,1,11834
