edge_id,end_vertex,length,n_points,start_vertex
1407,-1,3.7797650869024206,2,11411
1408,-1,3.7797580316888784,2,11411
1409,-1,1.4999960265069725,2,11414
1410,-1,2.381099849517892,2,11417
1411,-1,2.381100052759462,2,11417
1412,-1,2.3811152597828285,2,11418
1413,-1,2.381100000237872,2,11422
1414,-1,3.77976082143008,2,11423
1415,-1,2.3811125196311895,2,11424
1416,-1,3.7797552320281147,2,11426
1417,-1,3.7797634459600022,2,11426
1418,-1,5.999996795492788,2,11427
1419,-1,5.999994935116455,2,11428
1420,-1,1.5000033180658328,2,11429
1421,-1,3.7797586292333407,2,11430
1422,-1,3.7797601598534754,2,11430
1423,11390,3.1882295695521665,3,11433
1424,-1,3.7797607085262506,2,11435
1425,-1,2.3811024413355257,2,11437
1426,-1,3.7797679063061254,2,11438
1427,-1,3.779766180319511,2,11438
1428,-1,1.4999993134792875,2,11439
1429,-1,1.5000070633083988,2,11439
1430,9539,4.301117188557576,3,11440
1431,-1,2.3811007653882204,2,11440
1432,-1,3.77975603809464,2,11453
1433,-1,2.381104122170784,2,11454
1434,-1,2.381100548701578,2,11458
1435,-1,2.381105564280923,2,11459
1436,-1,3.7797629786448623,2,11467
1437,-1,0.7499991634002257,2,11468
1438,11385,3.320443710735918,3,11468
1439,-1,3.7797539299706333,2,11469
1440,-1,1.4999926677764623,2,11470
1441,-1,3.7797622528436836,2,11471
1442,-1,3.7797687910474966,2,11471
1443,-1,2.381101570971487,2,11476
1444,-1,1.500006470970511,2,11479
1445,-1,1.5000040672353896,2,11480
1446,-1,1.5000007960477595,2,11483
1447,-1,2.3810960616897914,2,11487
1448,11009,7.190903002263154,3,11487
1449,-1,2.381105107770685,2,11487
1450,-1,3.779761507746386,2,11488
1451,-1,3.779764987912446,2,11488
1452,-1,1.4999964182843222,2,11491
1453,-1,1.5000031973046013,2,11495
1454,-1,3.7797691891629515,2,11496
1455,-1,3.779754485235449,2,11496
1456,-1,2.3810990419172717,2,11498
1457,-1,2.381101809756934,2,11498
1458,-1,1.50000154762449,2,11507
1459,-1,6.000002698433794,2,11508
1460,11412,3.2553643946060564,3,11510
1461,-1,2.381093844655491,2,11513
1462,-1,3.779750611700908,2,11519
1463,-1,3.7797598896249625,2,11519
1464,-1,1.5000057711620622,2,11523
1465,-1,1.499993236176942,2,11523
1466,-1,1.5000079846728418,2,11523
1467,-1,3.779764979873746,2,11527
1468,-1,1.5000024678475723,2,11540
1469,-1,1.5000019191441578,2,11543
1470,-1,1.5000034500029,2,11543
1471,-1,3.7797633246094517,2,11545
1472,-1,3.7797638263662336,2,11545
1473,-1,2.381107978274903,2,11546
1474,-1,2.3810952750867855,2,11556
1475,-1,2.381099414286547,2,11556
1476,-1,1.4999954379094307,2,11560
1477,-1,2.3811029867185147,2,11563
1478,-1,2.3810946784515026,2,11565
1479,-1,1.5000063988709311,2,11575
1480,-1,1.499999962591876,2,11579
1481,-1,1.4999964661893408,2,11589
1482,-1,1.499996645760387,2,11591
1483,-1,3.779768257321397,2,11598
1484,-1,5.999991526729071,2,11599
1485,-1,2.3810974805202565,2,11605
1486,-1,1.5000036391385458,2,11608
1487,-1,1.4999971621022101,2,11610
1488,-1,1.5000004039611123,2,11613
1489,-1,1.4999891914193082,2,11614
1490,-1,1.4999961794771028,2,11616
1491,-1,1.500001645180426,2,11624
1492,-1,1.5000010562940507,2,11627
1493,-1,1.500003830932311,2,11631
1494,-1,2.381101185035191,2,11633
1495,-1,1.499994239293153,2,11634
1496,-1,2.3811041026142563,2,11635
1497,-1,2.3811041026142563,2,11635
1498,-1,1.5000060646051256,2,11638
1499,-1,1.4999875255031236,2,11639
1500,-1,1.5000044094372613,2,11640
1501,-1,1.4999846465255096,2,11641
1502,-1,2.3810982850779143,2,11643
1503,-1,2.3811042309172983,2,11643
1504,-1,2.3811009455529786,2,11643
1505,-1,1.4999993276625607,2,11646
1506,-1,1.4999995399265775,2,11646
1507,-1,1.4999992164664717,2,11649
1508,-1,2.3811029659396943,2,11650
1509,-1,2.3811027011563883,2,11650
1510,-1,0.750000159100923,2,11652
1511,-1,1.5000009251910824,2,11655
1512,-1,1.4999986567994155,2,11656
1513,-1,1.4999958544446612,2,11658
1514,-1,1.499993308199544,2,11659
1515,-1,1.4999992308049663,2,11660
1516,-1,1.4999968897092195,2,11660
1517,-1,1.500003625323961,2,11661
1518,-1,1.4999883680657857,2,11663
1519,-1,1.4999984338250527,2,11664
1520,-1,1.4999947477195348,2,11666
1521,-1,1.5000068161792164,2,11667
1522,-1,1.500007143615188,2,11667
1523,-1,1.4999980576479028,2,11668
1524,-1,1.4999975114458086,2,11669
1525,-1,1.5000022910711865,2,11671
1526,-1,1.5000103952507395,2,11672
1527,-1,1.4999927307768606,2,11672
